genome_id	genome_name	accession	annotation	feature_type	seed_id	refseq_locus_tag	alt_locus_tag	uniprotkb_accession	start	end	strand	na_length	gene	product	figfam_id	go	ec	pathway
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_4537			16751	16960	-	210	mokC	regulatory protein for HokC, overlaps CDS of hokC				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_4565			16751	16903	-	153	hokC	toxic membrane protein, small				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_15			17489	18655	+	1167	nhaA	sodium-proton antiporter				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_16			18715	19620	+	906	nhaR	DNA-binding transcriptional activator				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_17			19811	20314	-	504	insB1	IS1 transposase B				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_4568			20233	20508	-	276	insA	IS1 repressor TnpA				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_18			20815	21078	-	264	rpsT	30S ribosomal subunit protein S20				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_4520			21181	21399	+	219	yaaY	hypothetical protein				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_19			21407	22348	+	942	ribF	bifunctional riboflavin kinase/FAD synthetase				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_20			22391	25207	+	2817	ileS	isoleucyl-tRNA synthetase				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_21			25207	25701	+	495	lspA	prolipoprotein signal peptidase (signal peptidase II)				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_22			25826	26275	+	450	fkpB	FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase)				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_23			26277	27227	+	951	ispH	4-hydroxy-3-methylbut-2-enyl diphosphate reductase, 4Fe-4S protein				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_24			27293	28207	+	915	rihC	ribonucleoside hydrolase 3				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_25			28374	29195	+	822	dapB	dihydrodipicolinate reductase				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_27			29651	30799	+	1149	carA	carbamoyl phosphate synthetase small subunit, glutamine amidotransferase				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_28			30817	34038	+	3222	carB	carbamoyl-phosphate synthase large subunit				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_29			34300	34695	+	396	caiF	DNA-binding transcriptional activator				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_30			34781	35371	-	591	caiE	stimulator of CaiD and CaiB enzyme activities				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_31			35377	36162	-	786	caiD	carnitinyl-CoA dehydratase				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_32			36271	37824	-	1554	caiC	putative crotonobetaine/carnitine-CoA ligase				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_33			37898	39115	-	1218	caiB	crotonobetainyl CoA:carnitine CoA transferase				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_34			39244	40386	-	1143	caiA	crotonobetaine reductase subunit II, FAD-binding				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_35			40417	41931	-	1515	caiT	putative transporter				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_36			42403	43173	+	771	fixA	putative electron transfer flavoprotein subunit, required for anaerobic carnitine reduction				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_37			43188	44129	+	942	fixB	putative electron transfer flavoprotein, NAD/FAD-binding domain and ETFP adenine nucleotide-binding domain-like protein				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_38			44180	45466	+	1287	fixC	putative oxidoreductase with FAD/NAD(P)-binding domain				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_39			45463	45750	+	288	fixX	putative 4Fe-4S ferredoxin-type protein				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_40			45807	47138	+	1332	yaaU	putative transporter				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_41			47246	47776	+	531	kefF	potassium-efflux system ancillary protein for KefC, glutathione-regulated; quinone oxidoreductase, FMN-dependent				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_42			47769	49631	+	1863	kefC	potassium:proton antiporter				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_43			49823	50302	+	480	folA	dihydrofolate reductase				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_44			50380	51222	-	843	apaH	diadenosine tetraphosphatase				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_45			51229	51606	-	378	apaG	protein associated with Co2+ and Mg2+ efflux				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_46			51609	52430	-	822	rsmA	16S rRNA m(6)A1518, m(6)A1519 dimethyltransferase, SAM-dependent				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_47			52427	53416	-	990	pdxA	4-hydroxy-L-threonine phosphate dehydrogenase, NAD-dependent				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_48			53416	54702	-	1287	surA	peptidyl-prolyl cis-trans isomerase (PPIase)				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_49			54755	57109	-	2355	lptD	LPS assembly OM complex LptDE, beta-barrel component				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_50			57364	58179	+	816	djlA	DnaJ-like protein, membrane anchored				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_53			59687	60346	-	660	rluA	dual specificity 23S rRNA pseudouridine(746), tRNA pseudouridine(32) synthase, SAM-dependent				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_54			60358	63264	-	2907	rapA	RNA polymerase-associated helicase protein (ATPase and RNA polymerase recycling factor)				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_55			63429	65780	-	2352	polB	DNA polymerase II				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_56			65855	66550	-	696	araD	L-ribulose-5-phosphate 4-epimerase				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_57			66835	68337	-	1503	araA	L-arabinose isomerase				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_58			68348	70048	-	1701	araB	L-ribulokinase				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_59			70387	71265	+	879	araC	DNA-binding transcriptional dual regulator				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_60			71351	72115	+	765	yabI	inner membrane protein, SNARE_assoc family				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_61			72229	72927	-	699	thiQ	thiamin transporter subunit				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_62			72911	74521	-	1611	thiP	fused thiamin transporter subunits of ABC superfamily: membrane components				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_63			74497	75480	-	984	thiB	thiamin transporter subunit				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_64			75644	77299	-	1656	sgrR	transcriptional DNA-binding transcriptional activator of sgrS sRNA				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_65			77388	77519	+	132	sgrT	Inhibitor of glucose uptake				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_66			77621	78799	+	1179	setA	broad specificity sugar efflux system				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_67			78848	79453	-	606	leuD	3-isopropylmalate dehydratase small subunit				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_68			79464	80864	-	1401	leuC	3-isopropylmalate dehydratase large subunit				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_69			80867	81958	-	1092	leuB	3-isopropylmalate dehydrogenase, NAD(+)-dependent				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_70			81958	83529	-	1572	leuA	2-isopropylmalate synthase				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_4600			83622	83708	-	87	leuL	leu operon leader peptide				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_72			84368	85312	+	945	leuO	DNA-binding transcriptional activator				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_74			85630	87354	+	1725	ilvI	acetolactate synthase III, large subunit				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_75			87357	87848	+	492	ilvH	acetolactate synthase III, thiamin-dependent, small subunit				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_76			88028	89032	+	1005	cra	DNA-binding transcriptional repressor-activator for carbon metabolism				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_78			89634	90092	+	459	mraZ	RsmH methytransferase inhibitor				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_79			90094	91035	+	942	rsmH	16S rRNA m(4)C1402 methyltransferase, SAM-dependent				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_80			91032	91397	+	366	ftsL	membrane bound cell division protein at septum containing leucine zipper motif				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_81			91413	93179	+	1767	ftsI	transpeptidase involved in septal peptidoglycan synthesis (penicillin-binding protein 3)				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_82			93166	94653	+	1488	murE	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate:meso- diaminopimelate ligase				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_83			94650	96008	+	1359	murF	UDP-N-acetylmuramoyl-tripeptide:D-alanyl-D- alanine ligase				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_84			96002	97084	+	1083	mraY	phospho-N-acetylmuramoyl-pentapeptide transferase				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_85			97087	98403	+	1317	murD	UDP-N-acetylmuramoyl-L-alanine:D-glutamate ligase				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_86			98403	99647	+	1245	ftsW	lipid II flippase; integral membrane protein involved in stabilizing FstZ ring during cell division				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_87			99644	100711	+	1068	murG	N-acetylglucosaminyl transferase				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_88			100765	102240	+	1476	murC	UDP-N-acetylmuramate:L-alanine ligase				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_89			102233	103153	+	921	ddlB	D-alanine:D-alanine ligase				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_90			103155	103985	+	831	ftsQ	divisome assembly protein, membrane anchored protein involved in growth of wall at septum				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_91			103982	105244	+	1263	ftsA	ATP-binding cell division protein involved in recruitment of FtsK to Z ring				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_92			105305	106456	+	1152	ftsZ	GTP-binding tubulin-like cell division protein				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_93			106557	107474	+	918	lpxC	UDP-3-O-acyl N-acetylglucosamine deacetylase				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_94			107705	108217	+	513	secM	regulator of secA translation				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_95			108279	110984	+	2706	secA	preprotein translocase subunit, ATPase				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_96			111044	111433	+	390	mutT	nucleoside triphosphate pyrophosphohydrolase, marked preference for dGTP				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_97			111649	111846	-	198	yacG	DNA gyrase inhibitor				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_98			111856	112599	-	744	zapD	FtsZ stabilizer				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_99			112599	113219	-	621	coaE	dephospho-CoA kinase				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_100			113444	114487	+	1044	guaC	GMP reductase				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_101			114522	115724	-	1203	hofC	assembly protein in type IV pilin biogenesis, transmembrane protein				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_102			115714	117099	-	1386	hofB	conserved protein with nucleoside triphosphate hydrolase domain				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_103			117109	117549	-	441	ppdD	putative major pilin subunit				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_104			117752	118645	-	894	nadC	quinolinate phosphoribosyltransferase				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_105			118733	119284	+	552	ampD	1,6-anhydro-N-acetylmuramyl-L-alanine amidase, Zn-dependent; murein amidase				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_106			119281	120135	+	855	ampE	putative inner membrane protein				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_107			120178	121551	-	1374	aroP	aromatic amino acid transporter				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_108			122092	122856	+	765	pdhR	DNA-binding transcriptional dual regulator				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_109			123017	125680	+	2664	aceE	pyruvate dehydrogenase, decarboxylase component E1, thiamin-binding				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_110			125695	127587	+	1893	aceF	pyruvate dehydrogenase, dihydrolipoyltransacetylase component E2				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_111			127912	129336	+	1425	lpd	lipoamide dehydrogenase, E3 component is part of three enzyme complexes				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_112			129407	131260	-	1854	yacH	hypothetical protein				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_113			131615	134212	+	2598	acnB	bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_114			134388	134750	+	363	yacL	hypothetical protein				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_115			134788	135582	-	795	speD	S-adenosylmethionine decarboxylase				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_116			135598	136464	-	867	speE	spermidine synthase (putrescine aminopropyltransferase)				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_117			136570	136917	-	348	yacC	conserved protein, PulS_OutS family				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_118			137083	138633	+	1551	cueO	multicopper oxidase (laccase)				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_119			138835	141225	-	2391	gcd	glucose dehydrogenase				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_120			141431	141967	+	537	hpt	hypoxanthine phosphoribosyltransferase				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_121			142008	142670	-	663	can	carbonic anhydrase				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_122			142779	143705	+	927	yadG	putative transporter subunit: ATP-binding component of ABC superfamily				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_123			143702	144472	+	771	yadH	putative transporter subunit: membrane component of ABC superfamily				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_124			144577	145017	+	441	yadI	putative PTS Enzyme IIA				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_125			145081	146310	+	1230	yadE	putative polysaccharide deacetylase lipoprotein				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_126			146314	146694	-	381	panD	aspartate 1-decarboxylase				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_128			146968	147870	+	903	yadD	putative transposase				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_129			147944	148795	-	852	panC	pantothenate synthetase				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_130			148807	149601	-	795	panB	3-methyl-2-oxobutanoate hydroxymethyltransferase				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_131			149715	150953	-	1239	yadC	putative fimbrial-like adhesin protein				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_132			151003	151599	-	597	yadK	putative fimbrial-like adhesin protein				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_133			151626	152231	-	606	yadL	putative fimbrial-like adhesin protein				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_134			152243	152812	-	570	yadM	putative fimbrial-like adhesin protein				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_136			152829	155426	-	2598	htrE	putative outer membrane usher protein				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_137			155461	156201	-	741	yadV	putative periplasmic pilin chaperone				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_138			156299	156883	-	585	yadN	putative fimbrial-like adhesin protein				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_139			157253	157732	-	480	folK	2-amino-4-hydroxy-6-hydroxymethyldihyropteridine pyrophosphokinase				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_140			157729	159126	-	1398	pcnB	poly(A) polymerase				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_141			159186	160112	-	927	gluQ	glutamyl-Q tRNA(Asp) synthetase				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_142			160149	160604	-	456	dksA	DNA-binding transcriptional regulator of rRNA transcription, DnaK suppressor protein				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_143			160782	161486	-	705	sfsA	putative DNA-binding transcriptional regulator				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_144			161501	162031	-	531	ligT	2'-5' RNA ligase				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_145			162105	164534	+	2430	hrpB	putative ATP-dependent helicase				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_146			164730	167264	+	2535	mrcB	fused glycosyl transferase and transpeptidase				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_151			167484	171063	+	3580	fhuA					
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_148			167931	168836	-	906		integrase core domain protein				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_150			168794	169159	-	366		transposase family protein				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_152			171114	171911	+	798	fhuC	iron-hydroxamate transporter subunit				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_153			171911	172801	+	891	fhuD	iron-hydroxamate transporter subunit				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_154			172798	174780	+	1983	fhuB	fused iron-hydroxamate transporter subunits of ABC superfamily: membrane components				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_155			174938	176218	-	1281	hemL	glutamate-1-semialdehyde aminotransferase (aminomutase)				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_156			176443	177864	+	1422	clcA	H(+)/Cl(-) exchange transporter				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_157			177946	178290	+	345	erpA	iron-sulfur cluster insertion protein				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_158			178337	178960	-	624	yadS	inner membrane protein, UPF0126 family				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_159			178998	179798	-	801	btuF	vitamin B12 transporter subunit: periplasmic-binding component of ABC superfamily				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_160			179791	180489	-	699	mtn	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_161			180573	182090	+	1518	dgt	deoxyguanosine triphosphate triphosphohydrolase				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_162			182220	183644	+	1425	degP	serine endoprotease (protease Do), membrane-associated				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_163			183799	184956	+	1158	cdaR	DNA-binding transcriptional regulator for gar and gud operons; carbohydrate diacid regulator				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_164			185045	185431	-	387	yaeH	conserved protein, UPF0325 family				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_165			185593	186405	-	813	yaeI	phosphodiesterase with model substrate bis-pNPP				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_166			186459	187283	-	825	dapD	2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_167			187314	189986	-	2673	glnD	uridylyltransferase				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_168			190048	190842	-	795	map	methionine aminopeptidase				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_170			191210	191935	+	726	rpsB	30S ribosomal subunit protein S2				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_171			192193	193044	+	852	tsf	protein chain elongation factor EF-Ts				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_172			193191	193916	+	726	pyrH	uridylate kinase				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_173			194208	194765	+	558	frr	ribosome recycling factor				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_174			194857	196053	+	1197	dxr	1-deoxy-D-xylulose 5-phosphate reductoisomerase				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_175			196239	197000	+	762	ispU	undecaprenyl pyrophosphate synthase				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_177			197013	197870	+	858	cdsA	CDP-diglyceride synthase				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_178			197882	199234	+	1353	rseP	inner membrane zinc RIP metalloprotease; RpoE activator, by degrading RseA; cleaved signal peptide endoprotease				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_179			199264	201696	+	2433	bamA	outer membrane protein assembly factor, forms pores; required for OM biogenesis; in BamABCDE OM protein complex				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_180			201818	202303	+	486	skp	periplasmic chaperone				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_181			202307	203332	+	1026	lpxD	UDP-3-O-(3-hydroxymyristoyl)-glucosamine N-acyltransferase				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_182			203437	203892	+	456	fabZ	(3R)-hydroxymyristol acyl carrier protein dehydratase				
