genome_id	genome_name	patric_id	refseq_locus_tag	alt_locus_tag	gene	product	property	source	evidence	source_id	organism	function	classification	pmid	query_coverage	subject_coverage	identity	e_value
562.2284	Escherichia coli GSK2024	fig|562.2284.peg.21		VBIEscCol313224_0021		TonB-dependent hemin, ferrichrome receptor	Virulence Factor	VFDB	BLAT	VFG013064	Shigella dysenteriae Sd197		Iron uptake;Heme uptake		100	100	99	0.0
562.2284	Escherichia coli GSK2024	fig|562.2284.peg.21		VBIEscCol313224_0021		TonB-dependent hemin, ferrichrome receptor	Virulence Factor	Victors	BLAT	170681293	Escherichia coli SMS-3-5			9157252	100	100	99	0.0
562.2284	Escherichia coli GSK2024	fig|562.2284.peg.23		VBIEscCol313224_0023		Periplasmic hemin-binding protein	Transporter	TCDB	BLAT	Q32AX9	Shigella dysenteriae serotype 1 (strain Sd197)	the atp-binding cassette (abc) superfamily.	3.A.1.14.18	16275786	99	83	98	1e-150
562.2284	Escherichia coli GSK2024	fig|562.2284.peg.23		VBIEscCol313224_0023		Periplasmic hemin-binding protein	Virulence Factor	VFDB	BLAT	VFG000918	Escherichia coli CFT073		Iron uptake;Heme uptake		100	83	100	1e-153
562.2284	Escherichia coli GSK2024	fig|562.2284.peg.24		VBIEscCol313224_0024		Radical SAM family protein HutW, similar to coproporphyrinogen III oxidase, oxygen-independent, associated with heme uptake	Virulence Factor	VFDB	BLAT	VFG000919	Escherichia coli CFT073		Iron uptake;Heme uptake		100	94	99	1e-249
562.2284	Escherichia coli GSK2024	fig|562.2284.peg.25		VBIEscCol313224_0025		Putative heme iron utilization protein	Virulence Factor	VFDB	BLAT	VFG000920	Escherichia coli CFT073		Iron uptake;Heme uptake		100	100	100	6e-92
562.2284	Escherichia coli GSK2024	fig|562.2284.peg.26		VBIEscCol313224_0026		Flavin reductase (EC 1.5.1.30)	Virulence Factor	VFDB	BLAT	VFG000921	Escherichia coli CFT073		Iron uptake;Heme uptake		100	100	99	1e-115
562.2284	Escherichia coli GSK2024	fig|562.2284.peg.27		VBIEscCol313224_0027		Hemin ABC transporter, permease protein	Transporter	TCDB	BLAT	Q32AY2	Shigella dysenteriae serotype 1 (strain Sd197)	the atp-binding cassette (abc) superfamily.	3.A.1.14.18	16275786	100	100	99	1e-175
562.2284	Escherichia coli GSK2024	fig|562.2284.peg.27		VBIEscCol313224_0027		Hemin ABC transporter, permease protein	Virulence Factor	VFDB	BLAT	VFG000922	Escherichia coli CFT073		Iron uptake;Heme uptake		100	96	100	1e-176
562.2284	Escherichia coli GSK2024	fig|562.2284.peg.28		VBIEscCol313224_0028		ABC-type hemin transport system, ATPase component	Transporter	TCDB	BLAT	Q32AY3	Shigella dysenteriae serotype 1 (strain Sd197)	the atp-binding cassette (abc) superfamily.	3.A.1.14.18	16275786	100	100	99	1e-148
562.2284	Escherichia coli GSK2024	fig|562.2284.peg.28		VBIEscCol313224_0028		ABC-type hemin transport system, ATPase component	Virulence Factor	VFDB	BLAT	VFG044172	Escherichia coli CFT073		Iron uptake;Heme uptake		100	96	100	1e-148
562.2284	Escherichia coli GSK2024	fig|562.2284.peg.29		VBIEscCol313224_0029		Putative magnesium transporter YhiD	Transporter	TCDB	BLAT	P0AFV2	Escherichia coli (strain K12)	the putative mg(2+) transporter-c (mgtc) family.	9.B.20.1.4		100	88	99	1e-102
562.2284	Escherichia coli GSK2024	fig|562.2284.peg.32		VBIEscCol313224_0032		Membrane transporter HdeD, H-NS repressed	Transporter	TCDB	BLAT	P0AET5	Escherichia coli	the acid resistance membrane protein (hded) family.	9.B.36.1.1	15919996;16738553;8041620;8244952;8455549;9278503	100	100	99	1e-101
562.2284	Escherichia coli GSK2024	fig|562.2284.peg.33		VBIEscCol313224_0033		Transcriptional activator GadE	Antibiotic Resistance	CARD	BLAT	NP_417969.1	Escherichia coli str. K-12 substr. MG1655		"""antibiotic resistance gene cluster; cassette; or operon;efflux pump conferring antibiotic resistance;gene modulating antibiotic efflux"""		100	100	100	8e-96
562.2284	Escherichia coli GSK2024	fig|562.2284.peg.33		VBIEscCol313224_0033		Transcriptional activator GadE	Antibiotic Resistance	PATRIC	K-mer Search				regulator modulating expression of antibiotic resistance genes	14702398\;12940989				
562.2284	Escherichia coli GSK2024	fig|562.2284.peg.33		VBIEscCol313224_0033		Transcriptional activator GadE	Virulence Factor	Victors	BLAT	110807348	Shigella sonnei Ss046			15073317	100	100	100	8e-96
562.2284	Escherichia coli GSK2024	fig|562.2284.peg.35		VBIEscCol313224_0035		Multidrug efflux system MdtEF-TolC, membrane fusion component MdtE	Antibiotic Resistance	CARD	BLAT	BAE77781.1	Escherichia coli str. K-12 substr. W3110		"""antibiotic resistance gene cluster; cassette; or operon;efflux pump conferring antibiotic resistance"""		100	91	99	1e-195
562.2284	Escherichia coli GSK2024	fig|562.2284.peg.35		VBIEscCol313224_0035		Multidrug efflux system MdtEF-TolC, membrane fusion component MdtE	Antibiotic Resistance	PATRIC	K-mer Search				efflux pump conferring antibiotic resistance	11914367				
562.2284	Escherichia coli GSK2024	fig|562.2284.peg.35		VBIEscCol313224_0035		Multidrug efflux system MdtEF-TolC, membrane fusion component MdtE	Transporter	TCDB	BLAT	P37636	Escherichia coli (strain K12)	the membrane fusion protein (mfp) family.	8.A.1.6.3	11566977;11914367;12399493;12694615;14523115;16079137;16738553;8041620;9278503	100	91	99	1e-195
562.2284	Escherichia coli GSK2024	fig|562.2284.peg.36		VBIEscCol313224_0036		Multidrug efflux system MdtEF-TolC, inner-membrane proton/drug antiporter MdtF (RND type)	Antibiotic Resistance	CARD	BLAT	AAC76539.1	Escherichia coli str. K-12 substr. MG1655		"""antibiotic resistance gene cluster; cassette; or operon;efflux pump conferring antibiotic resistance"""		100	100	99	0.0
562.2284	Escherichia coli GSK2024	fig|562.2284.peg.36		VBIEscCol313224_0036		Multidrug efflux system MdtEF-TolC, inner-membrane proton/drug antiporter MdtF (RND type)	Antibiotic Resistance	PATRIC	K-mer Search				efflux pump conferring antibiotic resistance	11914367				
562.2284	Escherichia coli GSK2024	fig|562.2284.peg.36		VBIEscCol313224_0036		Multidrug efflux system MdtEF-TolC, inner-membrane proton/drug antiporter MdtF (RND type)	Transporter	TCDB	BLAT	P37637	Escherichia coli	the resistance-nodulation-cell division (rnd) superfamily.	2.A.6.2.13	11566977;11914367;12399493;12694615;14523115;15919996;16079137;16738553;8041620;9278503	100	100	99	0.0
562.2284	Escherichia coli GSK2024	fig|562.2284.peg.37		VBIEscCol313224_0037		Transcriptional regulator GadW, AraC family	Antibiotic Resistance	CARD	BLAT	ANK04027.1	Escherichia coli O25b:H4		efflux pump conferring antibiotic resistance;gene modulating antibiotic efflux		100	100	100	1e-137
562.2284	Escherichia coli GSK2024	fig|562.2284.peg.38		VBIEscCol313224_0038		Transcriptional regulator GadX, AraC family	Antibiotic Resistance	CARD	BLAT	YP_491919.1	Escherichia coli str. K-12 substr. W3110		efflux pump conferring antibiotic resistance;gene modulating antibiotic efflux		100	100	93	1e-143
562.2284	Escherichia coli GSK2024	fig|562.2284.peg.39		VBIEscCol313224_0039		Glutamate decarboxylase (EC 4.1.1.15)	Drug Target	DrugBank	BLAT	P69908	Escherichia coli (strain K12)	Glutaric Acid	Drug target		100	100	100	1e-285
562.2284	Escherichia coli GSK2024	fig|562.2284.peg.45		VBIEscCol313224_0045		Inner membrane protein YhjD	Transporter	TCDB	BLAT	P37642	Escherichia coli (strain K12)	the putative lipid iv exporter (yhjd) family.	9.B.126.1.1	15919996;16738553;8041620;9278503	100	100	99	1e-190
562.2284	Escherichia coli GSK2024	fig|562.2284.peg.46		VBIEscCol313224_0046		Uncharacterized MFS-type transporter YhjE	Transporter	TCDB	BLAT	P37643	Escherichia coli (strain K12)	the major facilitator superfamily (mfs).	2.A.1.6.10	15919996;16738553;8041620;9278503	100	100	99	1e-251
562.2284	Escherichia coli GSK2024	fig|562.2284.peg.47		VBIEscCol313224_0047		Uncharacterized protein YhjG	Transporter	TCDB	BLAT	P37645	Escherichia coli (strain K12)	the asma (asma) family.	9.B.121.1.1	16738553;8041620;9278503	100	100	99	0.0
562.2284	Escherichia coli GSK2024	fig|562.2284.peg.51		VBIEscCol313224_0051		Na+/H+-dicarboxylate symporter	Transporter	TCDB	BLAT	P0A830	Escherichia coli (strain K12)	the dicarboxylate/amino acid:cation (na(+) or h(+)) symporter (daacs) family.	2.A.23.1.7	10482502;15919996;16738553;17088549;8041620;9278503	100	92	100	1e-218
562.2284	Escherichia coli GSK2024	fig|562.2284.peg.51		VBIEscCol313224_0051		Na+/H+-dicarboxylate symporter	Virulence Factor	PATRIC_VF	BLAT	Z4942	Escherichia coli O157:H7 str. EDL933		Virulence	15528651	100	92	99	1e-217
562.2284	Escherichia coli GSK2024	fig|562.2284.peg.51		VBIEscCol313224_0051		Na+/H+-dicarboxylate symporter	Virulence Factor	Victors	BLAT	15804072	Escherichia coli O157:H7 str. EDL933			15528651	100	92	99	1e-217
562.2284	Escherichia coli GSK2024	fig|562.2284.peg.54		VBIEscCol313224_0054		Cellulose synthase operon protein C	Transporter	TCDB	BLAT	P37650	Escherichia coli (strain K12)	the poly acetyl glucosamine porin (pgaa) family.	1.B.55.3.1		100	100	98	0.0
562.2284	Escherichia coli GSK2024	fig|562.2284.peg.55		VBIEscCol313224_0055		beta-1,4-glucanase (cellulase) (EC 3.2.1.4)	Transporter	TCDB	BLAT	P37651	Escherichia coli (strain K12)	the glycan glucosyl transferase (opgh) family.	4.D.3.1.6		100	97	98	1e-215
562.2284	Escherichia coli GSK2024	fig|562.2284.peg.56		VBIEscCol313224_0056		Cyclic di-GMP-binding protein BcsB	Transporter	TCDB	BLAT	P37652	Escherichia coli (strain K12)	the glycan glucosyl transferase (opgh) family.	4.D.3.1.6		100	100	98	0.0
562.2284	Escherichia coli GSK2024	fig|562.2284.peg.57		VBIEscCol313224_0057		Cellulose synthase catalytic subunit [UDP-forming] (EC 2.4.1.12)	Transporter	TCDB	BLAT	P37653	Escherichia coli (strain K12)	the glycan glucosyl transferase (opgh) family.	4.D.3.1.6		100	100	99	0.0
562.2284	Escherichia coli GSK2024	fig|562.2284.peg.66		VBIEscCol313224_0066		HAAAP family transport protein YhjV	Transporter	TCDB	BLAT	P37660	Escherichia coli (strain K12)	the hydroxy/aromatic amino acid permease (haaap) family.	2.A.42.2.3	15919996;16738553;8041620;9278503	100	100	97	1e-237
562.2284	Escherichia coli GSK2024	fig|562.2284.peg.72		VBIEscCol313224_0072		Dipeptide ABC transporter, substrate-binding protein DppA (TC 3.A.1.5.2) @ Dipeptide chemoreceptor	Virulence Factor	PATRIC_VF	BLAT	c4361	Escherichia coli CFT073		Virulence	17074858	100	96	100	1e-312
562.2284	Escherichia coli GSK2024	fig|562.2284.peg.72		VBIEscCol313224_0072		Dipeptide ABC transporter, substrate-binding protein DppA (TC 3.A.1.5.2) @ Dipeptide chemoreceptor	Virulence Factor	Victors	BLAT	117625828	"Escherichia coli APEC O1 "			17074858	100	96	100	1e-312
562.2284	Escherichia coli GSK2024	fig|562.2284.peg.75		VBIEscCol313224_0075		Putative resistance protein	Transporter	TCDB	BLAT	P37662	Escherichia coli (strain K12)	the major facilitator superfamily (mfs).	2.A.1.11.3	15919996;16738553;8041620;9278503	100	100	98	1e-222
562.2284	Escherichia coli GSK2024	fig|562.2284.peg.77		VBIEscCol313224_0077		DNA-3-methyladenine glycosylase (EC 3.2.2.20)	Drug Target	DrugBank	BLAT	P05100	Escherichia coli (strain K12)	3-Methyladenine	Drug target		100	100	97	1e-108
562.2284	Escherichia coli GSK2024	fig|562.2284.peg.79		VBIEscCol313224_0079		Biotin sulfoxide reductase (EC 1.-.-.-) / Free methionine-(S)-sulfoxide reductase	Transporter	TCDB	BLAT	P20099	Escherichia coli	the prokaryotic molybdopterin-containing oxidoreductase (pmo) family.	5.A.3.4.3	16738553;2180922;8041620;9278503	100	97	97	0.0
562.2284	Escherichia coli GSK2024	fig|562.2284.peg.80		VBIEscCol313224_0080		Outer membrane porin, OmpA family	Transporter	TCDB	BLAT	P37665	Escherichia coli (strain K12)	"""the putative lipoprotein supressor of a ts bamd mutant, yiad (yiad) family."""	9.B.186.1.1		100	100	99	1e-117
562.2284	Escherichia coli GSK2024	fig|562.2284.peg.86		VBIEscCol313224_0086		Toxic component of a type I toxin-antitoxin system, HokA	Transporter	TCDB	BLAT	P37305	Escherichia coli (strain K12)	the toxic hok/gef protein (hok/gef) family.	1.E.53.1.2		100	100	100	7e-22
562.2284	Escherichia coli GSK2024	fig|562.2284.peg.90		VBIEscCol313224_0090		Inner membrane protein YiaH	Transporter	TCDB	BLAT	P37669	Escherichia coli (strain K12)	the acyltransferase-3/putative acetyl-coa transporter (atat) family.	9.B.97.1.1	15919996;16738553;8041620;9278503	100	94	97	1e-177
562.2284	Escherichia coli GSK2024	fig|562.2284.peg.91		VBIEscCol313224_0091		Inner membrane protein YiaA	Transporter	TCDB	BLAT	P0ADJ8	Escherichia coli	the yiaa-yiab (yiaab) family.	9.B.44.1.1	11867724;15919996;16738553;6320721;8041620;9278503	100	100	97	8e-77
562.2284	Escherichia coli GSK2024	fig|562.2284.peg.92		VBIEscCol313224_0092		Inner membrane protein YiaB	Transporter	TCDB	BLAT	P11286	Escherichia coli	the yiaa-yiab (yiaab) family.	9.B.44.1.1	11867724;15919996;16738553;6320721;8041620;9278503	100	100	97	1e-57
562.2284	Escherichia coli GSK2024	fig|562.2284.peg.95		VBIEscCol313224_0095		D-xylose ABC transporter, substrate-binding protein XylF	Transporter	TCDB	BLAT	P37387	Escherichia coli	the atp-binding cassette (abc) superfamily.	3.A.1.2.4	15919996;16738553;8041620;8581399;9278503;9298646;9673030	100	100	99	1e-185
562.2284	Escherichia coli GSK2024	fig|562.2284.peg.96		VBIEscCol313224_0096		D-xylose ABC transporter, ATP-binding protein XylG	Transporter	TCDB	BLAT	P37388	Escherichia coli	the atp-binding cassette (abc) superfamily.	3.A.1.2.4	15919996;16738553;8041620;8581399;9278503;9298646;9673030	97	100	99	1e-293
562.2284	Escherichia coli GSK2024	fig|562.2284.peg.97		VBIEscCol313224_0097		D-xylose ABC transporter, permease protein XylH	Transporter	TCDB	BLAT	P0AGI4	Escherichia coli	the atp-binding cassette (abc) superfamily.	3.A.1.2.4	15919996;16738553;8041620;8581399;9278503;9298646;9673030	100	100	99	1e-220
562.2284	Escherichia coli GSK2024	fig|562.2284.peg.106		VBIEscCol313224_0106		3-dehydro-L-gulonate 2-dehydrogenase (EC 1.1.1.130)	Drug Target	DrugBank	BLAT	P37672	Escherichia coli (strain K12)	D-tartaric acid	Drug target		100	100	99	1e-192
562.2284	Escherichia coli GSK2024	fig|562.2284.peg.110		VBIEscCol313224_0110		2,3-diketo-L-gulonate TRAP transporter large permease protein yiaN	Transporter	TCDB	BLAT	P37675	Escherichia coli	the tripartite atp-independent periplasmic transporter (trap-t) family.	2.A.56.1.2	14668138;15870475;15919996;16385129;16397293;16738553;8041620;9278503	98	98	85	1e-209
562.2284	Escherichia coli GSK2024	fig|562.2284.peg.111		VBIEscCol313224_0111		2,3-diketo-L-gulonate-binding periplasmic protein yiaO precursor	Transporter	TCDB	BLAT	P37676	Escherichia coli	the tripartite atp-independent periplasmic transporter (trap-t) family.	2.A.56.1.2	14668138;15870475;15919996;16385129;16397293;16738553;8041620;9278503	100	100	95	1e-180
562.2284	Escherichia coli GSK2024	fig|562.2284.peg.111		VBIEscCol313224_0111		2,3-diketo-L-gulonate-binding periplasmic protein yiaO precursor	Virulence Factor	PATRIC_VF	BLAT	SL1344_3638	Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344		Virulence	16518469	97	97	90	1e-166
562.2284	Escherichia coli GSK2024	fig|562.2284.peg.111		VBIEscCol313224_0111		2,3-diketo-L-gulonate-binding periplasmic protein yiaO precursor	Virulence Factor	Victors	BLAT	16766958	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2			16518469	97	97	90	1e-166
562.2284	Escherichia coli GSK2024	fig|562.2284.peg.123		VBIEscCol313224_0123		GTPase (EC 3.6.1.-)	Transporter	TCDB	BLAT	P32108	Escherichia coli (strain K12)	the duf3302 or pfam11742 (yibi) family.	9.B.32.1.1	16738553;8041620;8387990;9278503	100	100	95	2e-63
562.2284	Escherichia coli GSK2024	fig|562.2284.peg.124		VBIEscCol313224_0124		PTS system, mannitol-specific IIC component / PTS system, mannitol-specific IIB component (EC 2.7.1.197) / PTS system, mannitol-specific IIA component (EC 2.7.1.197)	Transporter	TCDB	BLAT	P00550	Escherichia coli	the pts fructose-mannitol (fru) family.	4.A.2.1.2	15919996;16738553;1946374;3135464;3142516;6309813;8041620;9278503;9551558	100	100	99	0.0
562.2284	Escherichia coli GSK2024	fig|562.2284.peg.135		VBIEscCol313224_0135		Probable sugar efflux transporter	Transporter	TCDB	BLAT	P31122	Escherichia coli	the major facilitator superfamily (mfs).	2.A.1.2.15	10094697;10438792;15919996;16738553;8383113;9097039;9278503	100	100	99	1e-220
562.2284	Escherichia coli GSK2024	fig|562.2284.peg.136		VBIEscCol313224_0136		UPF0056 inner membrane protein MarC	Transporter	TCDB	BLAT	P0AEY1	Escherichia coli	the 6 tms neutral amino acid transporter (naat) family.	2.A.95.1.1	11867724;15919996;16738553;17954692;8383113;9097039;9278503	100	100	100	1e-119
562.2284	Escherichia coli GSK2024	fig|562.2284.peg.137		VBIEscCol313224_0137		Multiple antibiotic resistance protein MarR	Antibiotic Resistance	CARD	BLAT	AAC74603.2	Escherichia coli str. K-12 substr. MG1655		antibiotic resistant gene variant or mutant;efflux pump conferring antibiotic resistance;gene modulating antibiotic efflux		100	100	98	1e-76
562.2284	Escherichia coli GSK2024	fig|562.2284.peg.137		VBIEscCol313224_0137		Multiple antibiotic resistance protein MarR	Antibiotic Resistance	PATRIC	K-mer Search				antibiotic resistance gene cluster, cassette, or operon	7768850\;8282690\;8383113\;9068629				
562.2284	Escherichia coli GSK2024	fig|562.2284.peg.138		VBIEscCol313224_0138		Multiple antibiotic resistance protein MarA	Antibiotic Resistance	CARD	BLAT	YP_489794.1	Escherichia coli str. K-12 substr. W3110		efflux pump conferring antibiotic resistance;gene modulating antibiotic efflux;gene modulating permeability to antibiotic		99	99	100	1e-69
562.2284	Escherichia coli GSK2024	fig|562.2284.peg.138		VBIEscCol313224_0138		Multiple antibiotic resistance protein MarA	Antibiotic Resistance	PATRIC	K-mer Search				antibiotic resistance gene cluster, cassette, or operon	8383113\;9068629				
562.2284	Escherichia coli GSK2024	fig|562.2284.peg.139		VBIEscCol313224_0139		Multiple antibiotic resistance protein MarB	Antibiotic Resistance	PATRIC	K-mer Search				antibiotic resistance gene cluster, cassette, or operon	8383113\;9068629				
562.2284	Escherichia coli GSK2024	fig|562.2284.peg.146		VBIEscCol313224_0146		Permease of the drug/metabolite transporter (DMT) superfamily	Transporter	TCDB	BLAT	P31125	Escherichia coli (strain K12)	the drug/metabolite transporter (dmt) superfamily.	2.A.7.3.2	10844694;15919996;16738553;8383113;9097039;9278503	99	99	98	1e-164
562.2284	Escherichia coli GSK2024	fig|562.2284.peg.147		VBIEscCol313224_0147		Putative transport protein	Transporter	TCDB	BLAT	P31126	Escherichia coli (strain K12)	the major facilitator superfamily (mfs).	2.A.1.2.55	16738553;8383113;9097039;9278503	100	100	97	1e-219
562.2284	Escherichia coli GSK2024	fig|562.2284.peg.155		VBIEscCol313224_0155		Uncharacterized MFS-type transporter YdfJ	Transporter	TCDB	BLAT	P77228	Escherichia coli (strain K12)	the major facilitator superfamily (mfs).	2.A.1.6.9	15919996;16738553;9097039;9278503	96	100	99	1e-244
562.2284	Escherichia coli GSK2024	fig|562.2284.peg.158		VBIEscCol313224_0158		UPF0060 membrane protein YnfA	Transporter	TCDB	BLAT	P76169	Escherichia coli	the drug/metabolite transporter (dmt) superfamily.	2.A.7.26.1	11867724;15919996;16738553;9278503	100	100	99	1e-58
562.2284	Escherichia coli GSK2024	fig|562.2284.peg.163		VBIEscCol313224_0163		Anaerobic selenate reductase, molybdenum cofactor-containing periplasmic protein	Transporter	TCDB	BLAT	P77374	Escherichia coli	the prokaryotic molybdopterin-containing oxidoreductase (pmo) family.	5.A.3.3.1	16738553;17218314;9097039;9278503	98	20	96	4e-88
562.2284	Escherichia coli GSK2024	fig|562.2284.peg.164		VBIEscCol313224_0164		Anaerobic selenate reductase, molybdenum cofactor-containing periplasmic protein	Transporter	TCDB	BLAT	P77374	Escherichia coli	the prokaryotic molybdopterin-containing oxidoreductase (pmo) family.	5.A.3.3.1	16738553;17218314;9097039;9278503	100	79	99	0.0
562.2284	Escherichia coli GSK2024	fig|562.2284.peg.165		VBIEscCol313224_0165		Anaerobic selenate reductase, molybdenum cofactor-containing periplasmic protein	Transporter	TCDB	BLAT	P77783	Escherichia coli	the prokaryotic molybdopterin-containing oxidoreductase (pmo) family.	5.A.3.3.1	16738553;17218314;9097039;9278503	100	98	99	0.0
562.2284	Escherichia coli GSK2024	fig|562.2284.peg.166		VBIEscCol313224_0166		Anaerobic dimethyl sulfoxide reductase chain B (EC 1.8.5.3), iron-sulfur binding subunit	Transporter	TCDB	BLAT	P0AAJ1	Escherichia coli	the prokaryotic molybdopterin-containing oxidoreductase (pmo) family.	5.A.3.3.1	16738553;17218314;9097039;9278503	100	100	100	1e-127
562.2284	Escherichia coli GSK2024	fig|562.2284.peg.167		VBIEscCol313224_0167		Anaerobic selenate reductase protein YnfH	Transporter	TCDB	BLAT	P76173	Escherichia coli	the prokaryotic molybdopterin-containing oxidoreductase (pmo) family.	5.A.3.3.1	16738553;17218314;9097039;9278503	100	100	96	1e-160
562.2284	Escherichia coli GSK2024	fig|562.2284.peg.169		VBIEscCol313224_0169		Voltage-gated ClC-type chloride channel ClcB	Transporter	TCDB	BLAT	Q8FHC1	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	the chloride carrier/channel (clc) family.	2.A.49.5.3	12471157	100	100	99	1e-237
562.2284	Escherichia coli GSK2024	fig|562.2284.peg.173		VBIEscCol313224_0173		Uncharacterized MFS-type transporter YnfM	Transporter	TCDB	BLAT	P43531	Escherichia coli	the major facilitator superfamily (mfs).	2.A.1.36.1	15919996;16738553;9097039;9278503	100	100	99	1e-239
562.2284	Escherichia coli GSK2024	fig|562.2284.peg.176		VBIEscCol313224_0176		Spermidine export protein MdtI	Transporter	TCDB	BLAT	P69210	Escherichia coli (strain K12)	the drug/metabolite transporter (dmt) superfamily.	2.A.7.1.9	11206551;11258796;11566977;11867724;15919996;16738553;18039771;9097039;9278503	100	100	100	8e-55
562.2284	Escherichia coli GSK2024	fig|562.2284.peg.177		VBIEscCol313224_0177		Spermidine export protein MdtJ	Transporter	TCDB	BLAT	P69213	Escherichia coli O157:H7	the drug/metabolite transporter (dmt) superfamily.	2.A.7.1.9	11206551;11258796;11566977;11867724;15919996;16738553;18039771;9097039;9278503	100	100	100	9e-61
562.2284	Escherichia coli GSK2024	fig|562.2284.peg.177		VBIEscCol313224_0177		Spermidine export protein MdtJ	Virulence Factor	PATRIC_VF	BLAT	SL1344_1412	Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344		Virulence	16518469	90	90	89	2e-47
562.2284	Escherichia coli GSK2024	fig|562.2284.peg.177		VBIEscCol313224_0177		Spermidine export protein MdtJ	Virulence Factor	Victors	BLAT	16764827	"Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 "			16518469	90	90	89	2e-47
562.2284	Escherichia coli GSK2024	fig|562.2284.peg.178		VBIEscCol313224_0178		AI-2 transport protein TqsA	Transporter	TCDB	BLAT	P0AFS5	Escherichia coli	"""the autoinducer-2 exporter (ai-2e) family (formerly the perm family, tc #9.b.22)."""	2.A.86.1.4	15919996;16385049;16738553;9097039;9278503	100	100	99	1e-188
